#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
1; 52301; 27,3900; 28,9700; -9,6702; -0,2849; 0,5004; 9,9599; 0,1221; 0,2466; 992,0000; 1017,0000; 509,0000; 503,0000; 509,0000; 510,0000; 511,0000; 0,0000
2; 52312; 27,3900; 28,9700; -9,6295; -0,2562; 0,5459; 9,8904; 0,0862; 0,2610; 995,0000; 1016,0000; 511,0000; 503,0000; 513,0000; 509,0000; 509,0000; 0,0000
3; 52323; 27,3900; 28,9700; -9,5720; -0,1915; 0,5315; 9,9264; 0,1413; 0,3448; 991,0000; 1017,0000; 511,0000; 503,0000; 510,0000; 508,0000; 511,0000; 0,0000
4; 52337; 27,3900; 28,9700; -9,6869; -0,3208; 0,5722; 9,9120; 0,1652; 0,3591; 991,0000; 1017,0000; 512,0000; 502,0000; 511,0000; 509,0000; 512,0000; 0,0000
5; 52347; 27,3900; 28,9800; -9,6414; -0,3304; 0,4812; 9,9455; 0,0910; 0,3041; 990,0000; 1016,0000; 510,0000; 504,0000; 509,0000; 507,0000; 509,0000; 0,0000
6; 52358; 27,3900; 28,9800; -9,6414; -0,2921; 0,5459; 9,9288; 0,1508; 0,2705; 995,0000; 1017,0000; 508,0000; 501,0000; 511,0000; 510,0000; 511,0000; 0,0000
7; 52371; 27,3900; 28,9800; -9,6822; -0,3017; 0,5794; 9,9144; 0,0694; 0,3376; 990,0000; 1017,0000; 509,0000; 500,0000; 509,0000; 510,0000; 511,0000; 0,0000
8; 52382; 27,3900; 28,9800; -9,6702; -0,3160; 0,5650; 9,9575; 0,1389; 0,2490; 988,0000; 1017,0000; 511,0000; 503,0000; 509,0000; 512,0000; 510,0000; 0,0000
9; 52392; 27,3900; 28,9800; -9,6175; -0,2945; 0,5531; 9,9288; 0,1221; 0,2586; 990,0000; 1016,0000; 511,0000; 502,0000; 510,0000; 510,0000; 507,0000; 0,0000
10; 52407; 27,3900; 28,9800; -9,5840; -0,3208; 0,5818; 9,9024; 0,0455; 0,3472; 990,0000; 1016,0000; 510,0000; 505,0000; 510,0000; 509,0000; 513,0000; 0,0000
11; 52418; 27,3900; 28,9800; -9,6319; -0,3112; 0,5746; 9,9144; 0,1125; 0,3017; 990,0000; 1017,0000; 508,0000; 501,0000; 509,0000; 509,0000; 510,0000; 0,0000
12; 52428; 27,3800; 28,9800; -9,6510; -0,2753; 0,6033; 9,9288; 0,0575; 0,2801; 992,0000; 1016,0000; 512,0000; 503,0000; 509,0000; 508,0000; 512,0000; 0,0000
13; 52443; 27,3800; 28,9700; -9,6630; -0,3328; 0,5507; 9,9455; 0,0982; 0,2873; 988,0000; 1017,0000; 511,0000; 502,0000; 508,0000; 510,0000; 508,0000; 0,0000
14; 52454; 27,3800; 28,9700; -9,6486; -0,3017; 0,5195; 9,9096; 0,0575; 0,3160; 994,0000; 1016,0000; 511,0000; 503,0000; 510,0000; 508,0000; 508,0000; 0,0000
15; 52464; 27,3800; 28,9700; -9,6486; -0,2538; 0,5387; 9,9838; 0,1101; 0,2131; 990,0000; 1016,0000; 512,0000; 501,0000; 509,0000; 509,0000; 511,0000; 0,0000
16; 52475; 27,3800; 28,9700; -9,6223; -0,2610; 0,5339; 9,9814; 0,0814; 0,3208; 989,0000; 1017,0000; 511,0000; 502,0000; 510,0000; 512,0000; 508,0000; 0,0000
17; 52490; 27,3800; 28,9700; -9,5840; -0,2849; 0,4501; 9,9719; 0,1796; 0,2921; 991,0000; 1017,0000; 509,0000; 503,0000; 509,0000; 509,0000; 510,0000; 0,0000
18; 52501; 27,3800; 28,9700; -9,6582; -0,2801; 0,6177; 9,9288; 0,0694; 0,2514; 991,0000; 1016,0000; 510,0000; 500,0000; 511,0000; 510,0000; 510,0000; 0,0000
19; 52511; 27,3800; 28,9700; -9,6941; -0,2346; 0,5435; 9,9623; 0,1293; 0,2562; 990,0000; 1017,0000; 510,0000; 502,0000; 509,0000; 509,0000; 511,0000; 0,0000
20; 52525; 27,3800; 28,9700; -9,6199; -0,3136; 0,5602; 9,9288; 0,0934; 0,3400; 991,0000; 1015,0000; 511,0000; 501,0000; 510,0000; 508,0000; 511,0000; 0,0000
21; 52535; 27,3900; 28,9700; -9,6726; -0,3017; 0,5602; 9,9168; 0,0910; 0,3089; 995,0000; 1017,0000; 511,0000; 504,0000; 510,0000; 509,0000; 510,0000; 0,0000
