#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
1; 22542; 26,8000; 28,4500; -9,6798; -0,2490; 0,4717; 9,9000; 0,0503; 0,2394; 992,0000; 1017,0000; 510,0000; 502,0000; 507,0000; 509,0000; 511,0000; 0,0000
2; 22553; 26,8000; 28,4500; -9,7085; -0,2634; 0,5219; 9,9503; 0,0527; 0,2849; 989,0000; 1017,0000; 512,0000; 503,0000; 510,0000; 510,0000; 512,0000; 0,0000
3; 22563; 26,8000; 28,4500; -9,5792; -0,3017; 0,4980; 9,8881; 0,1221; 0,2346; 991,0000; 1016,0000; 510,0000; 504,0000; 509,0000; 510,0000; 509,0000; 0,0000
4; 22578; 26,8000; 28,4500; -9,6486; -0,2897; 0,4621; 9,9431; 0,0670; 0,3065; 993,0000; 1016,0000; 509,0000; 505,0000; 511,0000; 509,0000; 509,0000; 0,0000
5; 22588; 26,8000; 28,4500; -9,6893; -0,2777; 0,6081; 9,9742; 0,1269; 0,2801; 991,0000; 1016,0000; 510,0000; 504,0000; 511,0000; 511,0000; 510,0000; 0,0000
6; 22599; 26,8000; 28,4500; -9,6223; -0,3280; 0,4597; 9,9910; 0,1173; 0,2346; 989,0000; 1016,0000; 508,0000; 503,0000; 510,0000; 509,0000; 511,0000; 0,0000
7; 22614; 26,7900; 28,4500; -9,7037; -0,2634; 0,5076; 9,9958; 0,1580; 0,3184; 990,0000; 1017,0000; 513,0000; 505,0000; 511,0000; 508,0000; 511,0000; 0,0000
8; 22624; 26,7900; 28,4500; -9,6630; -0,2346; 0,5602; 9,9551; 0,0575; 0,3160; 990,0000; 1016,0000; 510,0000; 503,0000; 509,0000; 510,0000; 510,0000; 0,0000
9; 22635; 26,7900; 28,4500; -9,6055; -0,3065; 0,4573; 9,9790; 0,1173; 0,2634; 991,0000; 1017,0000; 510,0000; 504,0000; 509,0000; 510,0000; 512,0000; 0,0000
10; 22652; 26,7900; 28,4500; -9,6606; -0,2777; 0,5243; 9,9000; 0,0910; 0,2514; 991,0000; 1016,0000; 511,0000; 503,0000; 510,0000; 511,0000; 510,0000; 0,0000
11; 22663; 26,7900; 28,4500; -9,6510; -0,3136; 0,5507; 9,9288; 0,0239; 0,3376; 992,0000; 1017,0000; 511,0000; 504,0000; 509,0000; 506,0000; 512,0000; 0,0000
12; 22673; 26,7900; 28,4500; -9,6079; -0,2394; 0,5674; 9,9766; 0,1580; 0,3735; 990,0000; 1017,0000; 510,0000; 505,0000; 509,0000; 509,0000; 510,0000; 0,0000
13; 22690; 26,7900; 28,4500; -9,5888; -0,2849; 0,5650; 9,9383; 0,1556; 0,2658; 990,0000; 1017,0000; 512,0000; 506,0000; 511,0000; 509,0000; 509,0000; 0,0000
14; 22700; 26,7900; 28,4500; -9,6654; -0,3136; 0,5578; 9,9671; 0,1293; 0,2777; 990,0000; 1016,0000; 509,0000; 506,0000; 508,0000; 508,0000; 510,0000; 0,0000
15; 22711; 26,8000; 28,4500; -9,6391; -0,2921; 0,6369; 9,9288; 0,1484; 0,2634; 991,0000; 1016,0000; 512,0000; 505,0000; 510,0000; 507,0000; 510,0000; 0,0000
16; 22721; 26,8000; 28,4500; -9,6462; -0,3711; 0,3879; 9,8833; 0,0934; 0,2203; 994,0000; 1017,0000; 510,0000; 504,0000; 510,0000; 508,0000; 511,0000; 0,0000
17; 22735; 26,8000; 28,4500; -9,6247; -0,2921; 0,5339; 9,9455; 0,0646; 0,2897; 996,0000; 1016,0000; 511,0000; 505,0000; 509,0000; 509,0000; 511,0000; 0,0000
18; 22745; 26,8000; 28,4500; -9,6798; -0,3184; 0,4884; 10,0102; 0,0814; 0,2921; 990,0000; 1016,0000; 508,0000; 504,0000; 510,0000; 509,0000; 511,0000; 0,0000
19; 22756; 26,8000; 28,4500; -9,6726; -0,2370; 0,5387; 9,8785; 0,1125; 0,3112; 992,0000; 1017,0000; 511,0000; 505,0000; 511,0000; 509,0000; 513,0000; 0,0000
20; 22771; 26,8000; 28,4500; -9,6582; -0,2610; 0,6249; 9,9192; 0,1484; 0,3184; 990,0000; 1016,0000; 510,0000; 502,0000; 510,0000; 509,0000; 510,0000; 0,0000
21; 22781; 26,8000; 28,4500; -9,6558; -0,2586; 0,5076; 9,9216; -0,0048; 0,2969; 993,0000; 1017,0000; 511,0000; 503,0000; 512,0000; 509,0000; 511,0000; 0,0000
22; 22792; 26,8000; 28,4500; -9,7133; -0,2610; 0,5124; 9,9479; 0,0622; 0,2873; 994,0000; 1017,0000; 510,0000; 502,0000; 509,0000; 508,0000; 511,0000; 0,0000
23; 22809; 26,8000; 28,4500; -9,6462; -0,2921; 0,5435; 9,9742; 0,0886; 0,2945; 992,0000; 1017,0000; 509,0000; 507,0000; 509,0000; 509,0000; 512,0000; 0,0000
24; 22820; 26,8000; 28,4500; -9,6199; -0,2921; 0,4980; 9,9120; 0,0862; 0,3974; 990,0000; 1016,0000; 510,0000; 505,0000; 510,0000; 512,0000; 512,0000; 0,0000
25; 22830; 26,8000; 28,4500; -9,6295; -0,3472; 0,5148; 9,9407; 0,1030; 0,2801; 990,0000; 1019,0000; 512,0000; 506,0000; 508,0000; 510,0000; 508,0000; 0,0000
26; 22847; 26,8000; 28,4500; -9,6103; -0,2586; 0,4980; 9,8713; 0,0694; 0,3041; 990,0000; 1017,0000; 512,0000; 506,0000; 509,0000; 509,0000; 512,0000; 0,0000
