#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
1; 12150; 27,8700; 29,2300; -9,6774; -0,2538; 0,4764; 9,9311; 0,1197; 0,3567; 993,0000; 1016,0000; 511,0000; 504,0000; 511,0000; 509,0000; 509,0000; 0,0000
2; 12161; 27,8700; 29,2300; -9,6486; -0,2849; 0,5435; 9,9527; 0,1365; 0,3041; 994,0000; 1016,0000; 510,0000; 502,0000; 510,0000; 507,0000; 512,0000; 0,0000
3; 12171; 27,8700; 29,2300; -9,6750; -0,3017; 0,4836; 9,9359; 0,1173; 0,3041; 993,0000; 1016,0000; 511,0000; 502,0000; 510,0000; 510,0000; 508,0000; 0,0000
4; 12186; 27,8700; 29,2300; -9,6582; -0,3328; 0,5387; 9,8809; 0,1030; 0,3424; 994,0000; 1017,0000; 513,0000; 505,0000; 510,0000; 508,0000; 510,0000; 0,0000
5; 12196; 27,8700; 29,2300; -9,6055; -0,3543; 0,5411; 9,9168; 0,1532; 0,2610; 994,0000; 1017,0000; 511,0000; 502,0000; 510,0000; 509,0000; 510,0000; 0,0000
6; 12207; 27,8700; 29,2300; -9,6223; -0,3136; 0,5770; 9,9024; 0,1221; 0,3567; 991,0000; 1016,0000; 512,0000; 503,0000; 510,0000; 507,0000; 513,0000; 0,0000
7; 12221; 27,8700; 29,2300; -9,6510; -0,2969; 0,6177; 9,9479; 0,1317; 0,2849; 993,0000; 1017,0000; 511,0000; 504,0000; 511,0000; 510,0000; 512,0000; 0,0000
8; 12232; 27,8700; 29,2300; -9,5816; -0,2969; 0,4956; 9,9288; 0,1221; 0,3160; 991,0000; 1017,0000; 510,0000; 502,0000; 510,0000; 509,0000; 510,0000; 0,0000
9; 12243; 27,8700; 29,2300; -9,6462; -0,3352; 0,5243; 9,9479; 0,0646; 0,2825; 991,0000; 1017,0000; 513,0000; 504,0000; 509,0000; 507,0000; 510,0000; 0,0000
10; 12257; 27,8700; 29,2300; -9,5960; -0,2466; 0,6009; 9,8761; 0,1149; 0,3304; 991,0000; 1017,0000; 511,0000; 502,0000; 513,0000; 507,0000; 511,0000; 0,0000
