#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
1; 14891; 26,7800; 28,5100; -9,6343; -0,3089; 0,5650; 9,9240; 0,0622; 0,3615; 990,0000; 1017,0000; 511,0000; 503,0000; 509,0000; 509,0000; 510,0000; 0,0000
2; 14902; 26,7800; 28,5100; -9,6965; -0,2969; 0,4549; 9,9120; 0,0072; 0,3376; 991,0000; 1021,0000; 513,0000; 503,0000; 510,0000; 512,0000; 509,0000; 0,0000
3; 14912; 26,7800; 28,5100; -9,6438; -0,2945; 0,5291; 9,9407; 0,0263; 0,2490; 990,0000; 1017,0000; 511,0000; 503,0000; 510,0000; 510,0000; 511,0000; 0,0000
4; 14928; 26,7800; 28,5100; -9,6343; -0,2993; 0,5698; 9,9359; 0,0503; 0,3065; 995,0000; 1016,0000; 510,0000; 503,0000; 509,0000; 510,0000; 509,0000; 0,0000
5; 14939; 26,7800; 28,5100; -9,6247; -0,2466; 0,5219; 9,9383; 0,1293; 0,2897; 990,0000; 1019,0000; 511,0000; 502,0000; 511,0000; 510,0000; 512,0000; 0,0000
6; 14950; 26,7800; 28,5100; -9,5888; -0,2921; 0,3687; 9,9695; 0,0790; 0,2370; 989,0000; 1016,0000; 512,0000; 503,0000; 511,0000; 509,0000; 511,0000; 0,0000
7; 14964; 26,7800; 28,5100; -9,6247; -0,3232; 0,4453; 9,8952; 0,1604; 0,2394; 991,0000; 1017,0000; 513,0000; 504,0000; 511,0000; 508,0000; 509,0000; 0,0000
8; 14975; 26,7800; 28,5100; -9,6582; -0,3256; 0,5674; 9,8904; 0,0790; 0,3184; 995,0000; 1017,0000; 510,0000; 503,0000; 512,0000; 511,0000; 509,0000; 0,0000
9; 14985; 26,7800; 28,5100; -9,6678; -0,3065; 0,5507; 9,9862; 0,1484; 0,2442; 993,0000; 1017,0000; 510,0000; 505,0000; 509,0000; 509,0000; 511,0000; 0,0000
10; 15002; 26,7800; 28,5100; -9,6223; -0,2682; 0,4669; 9,8928; 0,0910; 0,3304; 992,0000; 1016,0000; 512,0000; 504,0000; 509,0000; 509,0000; 513,0000; 0,0000
