#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
1; 48351; 29.23; 31.95; -9.69; -0.29; 0.54; 9.85; 0.16; 0.28; 943.00; 975.00; 497.00; 521.00; 490.00; 509.00; 534.00; 14.28
2; 48425; 29.22; 31.96; -9.63; -0.23; 0.46; 9.84; 0.11; 0.23; 911.00; 1021.00; 496.00; 520.00; 495.00; 506.00; 505.00; 0.00
3; 48525; 29.22; 31.96; -9.63; -0.29; 0.51; 9.92; 0.11; 0.35; 963.00; 979.00; 499.00; 511.00; 526.00; 508.00; 511.00; 0.00
4; 48625; 29.23; 31.96; -9.60; -0.27; 0.52; 9.92; 0.27; 0.17; 990.00; 944.00; 499.00; 529.00; 503.00; 508.00; 531.00; 0.00
5; 48725; 29.23; 31.97; -9.60; -0.23; 0.51; 9.98; 0.09; 0.37; 911.00; 976.00; 502.00; 502.00; 521.00; 510.00; 527.00; 0.00
6; 48825; 29.23; 31.97; -9.56; -0.27; 0.48; 9.97; 0.10; 0.33; 932.00; 967.00; 499.00; 503.00; 490.00; 506.00; 498.00; 0.00
7; 48925; 29.23; 31.97; -9.62; -0.29; 0.49; 9.90; 0.10; 0.27; 955.00; 989.00; 496.00; 526.00; 514.00; 512.00; 535.00; 0.00
8; 49025; 29.23; 31.97; -9.62; -0.33; 0.66; 10.02; 0.10; 0.17; 996.00; 986.00; 496.00; 491.00; 511.00; 508.00; 533.00; 0.00
9; 49125; 29.23; 31.98; -10.14; -0.25; 0.49; 9.57; -0.03; 0.06; 919.00; 972.00; 487.00; 515.00; 492.00; 525.00; 545.00; 0.01
10; 49225; 29.23; 31.98; -9.78; -0.19; 0.68; 9.67; -0.00; 0.22; 989.00; 863.00; 501.00; 509.00; 527.00; 521.00; 525.00; 0.04
11; 49325; 29.23; 31.98; -9.41; -0.15; 0.53; 9.88; 0.02; 0.25; 833.00; 982.00; 474.00; 491.00; 499.00; 508.00; 553.00; 0.08
12; 49425; 29.23; 31.98; -9.47; -0.22; 0.39; 9.90; 0.16; 0.29; 839.00; 898.00; 500.00; 523.00; 499.00; 518.00; 531.00; 0.13
