#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
36; 25456; 32.09; 25.70; -9.72; -0.30; 0.57; 9.90; 0.06; 0.28; 991.00; 1016.00; 497.00; 512.00; 511.00; 508.00; 508.00; 0.00
37; 25556; 32.10; 25.71; -9.72; -0.30; 0.52; 9.93; 0.12; 0.38; 991.00; 1017.00; 499.00; 510.00; 508.00; 509.00; 513.00; 0.00
38; 25656; 32.09; 25.71; -9.67; -0.26; 0.54; 9.91; 0.09; 0.29; 993.00; 1017.00; 498.00; 512.00; 510.00; 511.00; 510.00; 0.00
39; 25756; 32.09; 25.71; -9.63; -0.28; 0.56; 9.96; 0.11; 0.32; 992.00; 1016.00; 498.00; 511.00; 510.00; 509.00; 509.00; 0.00
40; 25856; 32.10; 25.70; -9.59; -0.27; 0.57; 9.88; 0.08; 0.32; 996.00; 1017.00; 498.00; 511.00; 510.00; 510.00; 511.00; 0.00
41; 25956; 32.10; 25.71; -9.64; -0.26; 0.53; 9.95; 0.13; 0.34; 992.00; 1017.00; 497.00; 511.00; 509.00; 509.00; 510.00; 0.00
42; 26056; 32.09; 25.70; -9.61; -0.27; 0.59; 9.89; 0.15; 0.30; 990.00; 1020.00; 500.00; 511.00; 510.00; 510.00; 511.00; 0.00
43; 26156; 32.10; 25.71; -9.69; -0.25; 0.56; 9.89; 0.11; 0.39; 991.00; 1016.00; 498.00; 509.00; 508.00; 511.00; 509.00; 0.00
44; 26256; 32.10; 25.71; -9.65; -0.24; 0.48; 9.92; 0.11; 0.37; 990.00; 1016.00; 499.00; 510.00; 511.00; 509.00; 511.00; 0.00
45; 26356; 32.10; 25.71; -9.65; -0.29; 0.56; 9.93; 0.07; 0.26; 991.00; 1016.00; 498.00; 509.00; 512.00; 510.00; 509.00; 0.00
46; 26456; 32.10; 25.71; -9.63; -0.24; 0.52; 9.94; 0.10; 0.28; 992.00; 1016.00; 496.00; 514.00; 512.00; 509.00; 511.00; 0.00
47; 26556; 32.09; 25.71; -9.71; -0.24; 0.59; 9.93; 0.11; 0.42; 991.00; 1017.00; 498.00; 509.00; 511.00; 508.00; 509.00; 0.00
48; 26656; 32.09; 25.71; -9.62; -0.33; 0.44; 9.93; 0.14; 0.26; 990.00; 1016.00; 499.00; 512.00; 510.00; 509.00; 512.00; 0.00
49; 26756; 32.09; 25.71; -9.61; -0.31; 0.62; 9.94; 0.11; 0.34; 989.00; 1017.00; 499.00; 511.00; 509.00; 511.00; 509.00; 0.00
50; 26856; 32.09; 25.71; -9.63; -0.32; 0.46; 10.00; 0.04; 0.32; 993.00; 1016.00; 497.00; 511.00; 510.00; 508.00; 513.00; 0.00
51; 26956; 32.09; 25.71; -9.65; -0.28; 0.54; 9.93; 0.13; 0.34; 992.00; 1018.00; 497.00; 512.00; 509.00; 509.00; 511.00; 0.00
52; 27056; 32.09; 25.71; -9.73; -0.28; 0.52; 9.90; 0.09; 0.30; 990.00; 1016.00; 499.00; 510.00; 508.00; 509.00; 507.00; 0.00
53; 27156; 32.09; 25.71; -9.62; -0.28; 0.59; 9.94; 0.13; 0.36; 991.00; 1015.00; 498.00; 509.00; 510.00; 509.00; 508.00; 0.00
54; 27256; 32.09; 25.71; -9.70; -0.29; 0.51; 9.93; 0.11; 0.22; 991.00; 1017.00; 494.00; 509.00; 510.00; 509.00; 511.00; 0.00
55; 27356; 32.09; 25.71; -9.70; -0.30; 0.52; 9.87; 0.17; 0.40; 992.00; 1017.00; 497.00; 510.00; 511.00; 508.00; 510.00; 0.00
56; 27456; 32.10; 25.71; -9.65; -0.28; 0.54; 9.89; -0.01; 0.29; 993.00; 1016.00; 499.00; 511.00; 512.00; 510.00; 511.00; 0.00
57; 27556; 32.10; 25.71; -9.67; -0.32; 0.54; 9.97; 0.09; 0.28; 990.00; 1017.00; 498.00; 513.00; 510.00; 512.00; 510.00; 0.00
58; 27656; 32.10; 25.71; -9.63; -0.32; 0.52; 9.92; 0.09; 0.25; 993.00; 1019.00; 497.00; 510.00; 511.00; 509.00; 512.00; 0.00
59; 27756; 32.10; 25.71; -9.66; -0.32; 0.57; 9.95; 0.07; 0.38; 993.00; 1019.00; 500.00; 510.00; 509.00; 507.00; 511.00; 0.00
60; 27856; 32.10; 25.71; -9.66; -0.29; 0.55; 9.93; 0.16; 0.37; 993.00; 1017.00; 501.00; 510.00; 510.00; 508.00; 512.00; 0.00
61; 27956; 32.10; 25.71; -9.52; -0.29; 0.44; 9.78; 0.06; 0.37; 989.00; 1016.00; 497.00; 511.00; 509.00; 510.00; 511.00; 0.00
62; 28056; 32.10; 25.71; -9.79; -0.29; 0.60; 10.03; 0.11; 0.42; 991.00; 1017.00; 496.00; 510.00; 509.00; 511.00; 511.00; 0.00
63; 28156; 32.09; 25.71; -9.55; -0.32; 0.51; 9.91; 0.09; 0.34; 990.00; 1016.00; 497.00; 510.00; 510.00; 510.00; 510.00; 0.00
64; 28256; 32.10; 25.71; -9.61; -0.35; 0.51; 9.91; 0.14; 0.35; 995.00; 1016.00; 498.00; 511.00; 509.00; 508.00; 510.00; 0.00
65; 28356; 32.10; 25.71; -9.67; -0.34; 0.54; 9.92; 0.10; 0.30; 991.00; 1016.00; 501.00; 510.00; 510.00; 509.00; 510.00; 0.00
66; 28456; 32.10; 25.71; -9.63; -0.26; 0.54; 9.96; 0.12; 0.32; 995.00; 1016.00; 499.00; 510.00; 511.00; 510.00; 510.00; 0.00
67; 28556; 32.10; 25.71; -9.62; -0.28; 0.65; 9.92; 0.05; 0.36; 991.00; 1017.00; 498.00; 510.00; 511.00; 509.00; 513.00; 0.00
68; 28656; 32.10; 25.71; -9.67; -0.25; 0.57; 9.97; 0.08; 0.33; 990.00; 1016.00; 498.00; 512.00; 510.00; 508.00; 510.00; 0.00
69; 28756; 32.10; 25.71; -9.64; -0.32; 0.51; 9.88; 0.08; 0.35; 989.00; 1016.00; 498.00; 509.00; 513.00; 508.00; 511.00; 0.00
70; 28856; 32.10; 25.71; -9.73; -0.30; 0.56; 9.94; 0.09; 0.33; 990.00; 1017.00; 497.00; 512.00; 511.00; 512.00; 510.00; 0.00
71; 28956; 32.10; 25.72; -9.58; -0.28; 0.52; 9.96; 0.06; 0.23; 994.00; 1016.00; 498.00; 510.00; 509.00; 510.00; 511.00; 0.00
72; 29056; 32.10; 25.72; -9.66; -0.29; 0.57; 9.93; 0.04; 0.32; 997.00; 1016.00; 498.00; 511.00; 509.00; 510.00; 511.00; 0.00
73; 29156; 32.10; 25.71; -9.61; -0.24; 0.62; 9.93; 0.15; 0.33; 991.00; 1016.00; 499.00; 509.00; 511.00; 507.00; 513.00; 0.00
74; 29256; 32.10; 25.72; -9.59; -0.23; 0.57; 9.94; 0.11; 0.33; 990.00; 1017.00; 499.00; 511.00; 510.00; 508.00; 509.00; 0.00
75; 29356; 32.10; 25.72; -9.62; -0.28; 0.54; 10.02; 0.11; 0.27; 990.00; 1016.00; 497.00; 512.00; 509.00; 509.00; 509.00; 0.00
76; 29456; 32.10; 25.71; -9.48; -0.32; 0.51; 9.93; 0.06; 0.25; 991.00; 1016.00; 498.00; 511.00; 509.00; 508.00; 511.00; 0.00
77; 29556; 32.10; 25.72; -9.75; -0.32; 0.62; 10.13; -0.02; 0.40; 947.00; 1011.00; 499.00; 493.00; 502.00; 506.00; 522.00; 0.00
78; 29656; 32.10; 25.71; -9.64; -0.34; 0.37; 9.84; 0.15; 0.33; 954.00; 978.00; 493.00; 502.00; 494.00; 508.00; 512.00; 0.00
