#; CPU time in ms; temp1 in C; temp2 in C; ax1 in m/s^2; ay1 in m/s^2; az1 in m/s^2; ax2 in m/s^2; ay2 in m/s^2; az2 in m/s^2; volt1; volt2; cur1; cur2; cur3; cur4; cur5; speed in m/s
1; 15041; 28,4900; 29,8400; -9,6319; -0,3304; 0,5315; 9,9431; 0,1484; 0,2969; 989,0000; 1018,0000; 511,0000; 504,0000; 511,0000; 508,0000; 509,0000; 0,0000
2; 15052; 28,4900; 29,8400; -9,6175; -0,2873; 0,5315; 9,9359; 0,0958; 0,3567; 991,0000; 1016,0000; 511,0000; 505,0000; 509,0000; 508,0000; 510,0000; 0,0000
3; 15062; 28,4900; 29,8400; -9,6127; -0,2538; 0,5124; 9,9216; 0,0742; 0,2251; 990,0000; 1017,0000; 511,0000; 506,0000; 511,0000; 509,0000; 509,0000; 0,0000
4; 15079; 28,4900; 29,8400; -9,6151; -0,3256; 0,5339; 9,9551; 0,0694; 0,3136; 990,0000; 1016,0000; 511,0000; 506,0000; 512,0000; 512,0000; 508,0000; 0,0000
5; 15089; 28,4900; 29,8400; -9,6678; -0,3232; 0,4741; 9,9671; 0,0958; 0,2562; 990,0000; 1017,0000; 511,0000; 505,0000; 508,0000; 508,0000; 510,0000; 0,0000
6; 15100; 28,4900; 29,8400; -9,6271; -0,2394; 0,5052; 9,9096; 0,1101; 0,2634; 994,0000; 1016,0000; 510,0000; 507,0000; 508,0000; 508,0000; 512,0000; 0,0000
7; 15114; 28,5000; 29,8400; -9,6055; -0,3041; 0,6033; 9,9838; 0,0838; 0,3017; 990,0000; 1016,0000; 509,0000; 505,0000; 509,0000; 507,0000; 511,0000; 0,0000
8; 15125; 28,5000; 29,8400; -9,6151; -0,3256; 0,5028; 9,9790; 0,1484; 0,2394; 992,0000; 1017,0000; 510,0000; 506,0000; 511,0000; 511,0000; 508,0000; 0,0000
9; 15135; 28,5000; 29,8400; -9,6391; -0,2945; 0,5411; 9,9527; 0,1125; 0,2634; 990,0000; 1017,0000; 512,0000; 505,0000; 510,0000; 509,0000; 511,0000; 0,0000
10; 15151; 28,5000; 29,8400; -9,6558; -0,2921; 0,5650; 9,9766; 0,1149; 0,2945; 989,0000; 1017,0000; 509,0000; 504,0000; 509,0000; 507,0000; 508,0000; 0,0000
